JTT-DCMUT+FC+BU{0.467206}, partition_340 = 179872-180296
JTT+FC+BU{2.169818}, partition_341 = 180297-180856
JTT-DCMUT+FC+BU{0.326210}, partition_342 = 180857-181096
LG+FC+BU{1.239584}, partition_343 = 181097-181362
JTT+BU{1.623829}, partition_344 = 181363-181636
JTT-DCMUT+FC+BU{1.880354}, partition_345 = 181637-181939
LG+BU{1.791899}, partition_346 = 181940-182206
MTZOA+FC+BU{0.635226}, partition_347 = 182207-182486
JTT+FC+BU{2.018339}, partition_348 = 182487-182782
JTT+FC+BU{0.532555}, partition_349 = 182783-183063
JTT+FC+BU{1.812184}, partition_350 = 183064-183402
JTT+FC+BU{0.698421}, partition_351 = 183403-183921
JTT+FC+BU{1.604106}, partition_352 = 183922-184265
JTT-DCMUT+FC+BU{0.466296}, partition_353 = 184266-184559
LG+FC+BU{0.453064}, partition_354 = 184560-184972
JTT+FC+BU{0.401321}, partition_355 = 184973-185694
JTT+FC+BU{0.682973}, partition_356 = 185695-186696
JTT+FC+BU{0.663156}, partition_357 = 186697-187498
JTT+FC+BU{1.616511}, partition_358 = 187499-187776
MTZOA+FC+BU{0.862606}, partition_359 = 187777-188075
JTT+FC+BU{1.057108}, partition_360 = 188076-188781
HIVB+FC+BU{1.251668}, partition_361 = 188782-189127
MTZOA+FC+BU{0.310965}, partition_362 = 189128-189387
JTT+FC+BU{1.493813}, partition_363 = 189388-190171
JTT+FC+BU{0.411633}, partition_364 = 190172-190994
JTT+FC+BU{1.077193}, partition_365 = 190995-191391
MTZOA+FC+BU{0.634217}, partition_366 = 191392-191833
JTT+FC+BU{1.115306}, partition_367 = 191834-192141
JTT+FC+BU{0.523192}, partition_368 = 192142-192369
JTT+FC+BU{0.446105}, partition_369 = 192370-192799
LG+FC+BU{1.514651}, partition_370 = 192800-193102
JTT-DCMUT+FC+BU{0.830921}, partition_371 = 193103-193897
HIVB+FC+BU{0.245837}, partition_372 = 193898-194264
MTZOA+FC+BU{0.166861}, partition_373 = 194265-195481
JTT+FC+BU{0.428847}, partition_374 = 195482-195986
LG+BU{2.107618}, partition_375 = 195987-196379
JTT+FC+BU{0.341465}, partition_376 = 196380-196835
JTT+FC+BU{0.176500}, partition_377 = 196836-197232
JTT+FC+BU{1.577473}, partition_378 = 197233-197690
JTT+FC+BU{0.507144}, partition_379 = 197691-198444
HIVB+FC+BU{0.402206}, partition_380 = 198445-198711
JTT+FC+BU{0.998454}, partition_381 = 198712-198966
JTT-DCMUT+BU{1.119577}, partition_382 = 198967-199432
JTT-DCMUT+FC+BU{1.287364}, partition_383 = 199433-199716
JTT+FC+BU{1.999098}, partition_384 = 199717-200067
JTT+FC+BU{0.800291}, partition_385 = 200068-200515
LG+FC+BU{1.101470}, partition_386 = 200516-200760
JTT+BU{1.704026}, partition_387 = 200761-201068
JTT+FC+BU{0.490824}, partition_388 = 201069-201924
JTT+FC+BU{0.565511}, partition_389 = 201925-202170
JTT+FC+BU{0.859286}, partition_390 = 202171-202569
JTT+FC+BU{1.959168}, partition_391 = 202570-203117
LG+FC+BU{1.809416}, partition_392 = 203118-203716
DAYHOFF+FC+BU{0.253242}, partition_393 = 203717-203921
RTREV+FC+BU{0.087150}, partition_394 = 203922-204396
JTT+FC+BU{0.800835}, partition_395 = 204397-204678
JTT+FC+BU{1.629195}, partition_396 = 204679-205852
JTT-DCMUT+FC+BU{2.030695}, partition_397 = 205853-206248
JTT+FC+BU{0.656336}, partition_398 = 206249-206494
LG+FC+BU{0.589523}, partition_399 = 206495-206839
JTT+FC+BU{1.327807}, partition_400 = 206840-207182
JTT+FC+BU{0.285487}, partition_401 = 207183-208053
HIVB+FC+BU{2.483170}, partition_402 = 208054-208350
JTT+BU{1.379124}, partition_403 = 208351-208668
JTT+FC+BU{0.875225}, partition_404 = 208669-209220
JTT+FC+BU{0.101854}, partition_405 = 209221-210901
JTT+BU{0.740322}, partition_406 = 210902-211558
